Dataset:,Generation of plastic packaging waste per capita [cei_pc050],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
HUN,:,:,:,:,16.33,18.62,19.71,21.73,21.44,22.89,21.09,20.93,25.9,27.85,26.21,30.46,31.48,32.24,34.84,35.02,47.45,:
BEL,23.78,23.32,24.97,26.8,27.01,27.7,28.66,29.06,28.16,28.11,28.96,28.62,28.85,29.51,29.36,30.13,30.28,30.36,30.4,30.57,32,32.02
NLD,28.76,30.29,32.82,33.22,33.72,36.27,27.22,28.45,26.88,25.86,27.32,26.6,27.39,27.85,28.11,29.04,29.54,29.89,30.35,30.15,31.76,31.13
MLT,:,:,:,:,15.72,16.03,16.41,21.63,35.3,32.24,29.34,27.39,25.82,26.95,25.72,28.03,31.94,28.41,31.8,31.77,27.43,30.88
POL,:,:,:,:,17.37,16.59,18.09,13.53,17.57,17.47,19.27,20.61,21.86,23.53,23.6,24.63,26.53,27.42,25.94,34.19,:,:
SWE,16.73,17.93,18.74,18.41,19.03,19.45,20.46,20.91,20.95,20.61,21.16,22.43,22.44,23.18,23.55,23.57,24.03,23.93,24.17,23.9,24.03,39.11
CZE,:,:,:,16.94,17.37,20.25,19.93,21.08,20.82,19.99,20.01,19.95,20.14,20.46,20.79,23.45,22.42,23.59,25.16,24.76,24.72,27.1
LTU,:,:,:,:,14.97,15.44,17.3,19.96,19.95,17.12,18.25,19.93,19.98,21.37,22.87,22.55,22.88,25.42,27.08,29.83,30.81,:
SVN,:,:,:,:,16.2,16.97,23.59,22.66,23.69,22.85,22.1,21.79,21.8,20.41,21.44,21.85,22.45,24.28,23.81,23.88,23.68,26.22
FIN,16.88,16.85,16.75,17.15,17.2,19.08,18.4,18.63,21.71,21.04,21.67,21.74,21.65,21.65,21.38,21.27,22.36,23.66,24.52,24.22,28.41,29.94
LIC,:,:,:,:,:,:,18.98,18.75,18.88,18.75,18.93,18.95,19.78,19.28,18.98,20.96,21.29,20.6,21.11,21.64,23.21,23.17
LVA,:,:,:,:,15.96,16.22,18.24,17.95,17.66,14.59,16.78,17.57,18.18,20.14,19.41,20.92,20.55,20.31,22.63,22.22,24.58,25.53
SVK,:,:,:,12.5,9.31,16.79,11.16,13.96,15.14,16.97,19.62,19.75,19.33,18.06,18.03,19.62,21.99,22.83,24.22,24.69,23.49,:
CYP,:,:,:,:,44.83,46.36,17.05,19.18,21.11,19.48,19.03,17.85,17.62,18.25,18.56,18.99,19.34,20.47,19.97,20.63,20.28,20.85
ROU,:,:,:,:,:,15.56,16.75,17.97,16.19,14.42,13.89,13.84,14.86,14.53,16.92,18.12,17.7,18.4,20.1,24.87,24.95,:
GRC,24.06,24.86,26.14,27.45,27.84,23.85,27.22,26.7,21.66,21.34,19.92,18.71,16.74,16.55,16.93,16.99,17.32,17.5,18.83,20.76,:,:
2,:,:,:,:,:,13.84,11.75,13.53,10.37,12.82,11.08,12.92,13.16,13.29,14.13,13.87,15.19,16.95,18.7,23.36,:,:
HRV,:,:,:,:,:,:,:,:,:,:,:,:,11.31,11.46,11.59,12.35,13.12,14.67,15.73,16.76,16.27,17.91
,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,,,,,,,,,,,,,,,,,,,,,
Waste categories,,,,,,,,,,,,,,,,,,,,,,
Waste management operations,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,
be,"break in time series, estimated",,,,,,,,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,,,
s,Eurostat estimate,,,,,,,,,,,,,,,,,,,,,
